,Nr,URL,Title,Category,Subcategory,Saved,LastUpOn,Description,Zustand,FirstPrice,FirstAvailable,MinAmount,Location,Hersteller,Properties,FirstPriceNumeric,FirstAvailableNumeric,LastPriceNumeric,LastAvailableNumeric,LastPrice,LastAvailable,Sold,SoldAfter,Imagefile,material_emb,German_Raw,German_Code,first_level,second_level,third_level,SoldAfterDays,StockChange
1534,121911,https://restado.de/baustoff/eichenbalken/,Eichenbalken,Dach,Konstruktiver Holzbau,2023-01-09,,Eichenbalken aus Holzfachwerk zu verkaufen. Das Fachwerk liegt mittlerweile frei und kann besichtigt werden. Das Haus wird Mitte des Jahres zurückgebaut und das Fachwerk abgebaut (zerlegt) verkauft. Nur an Selbstabholer. Gegen Aufpreis kann das Holz mit Frontlader/Kran aufgeladen werden.,Gebraucht,120€ (VB) / lfm,1 lfm verfügbar,(1 lfm Mindestabnahme),D-97846 Partenstein,,{},120.0,1.0,120.0,1.0,120€ (VB) / lfm,1 lfm verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2023/03/e2938cf2-img_1164.jpeg'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1535,120027,https://restado.de/baustoff/drahtstifte-34-x-87-mm/,"Drahtstifte , x mm",Dach,Konstruktiver Holzbau,2023-01-09,1673308800000.0,,,,,,,,,,,,,,,1.0,86400000.0,"['https://restado.de/wp-content/uploads/products/2023/02/7a543726-img_20230117_120711-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/4ce76c60-img_20230117_101504-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/0b0a78e6-img_20230117_101509-scaled.jpg', 'https://restado.de/wp-content/uploads/products/2023/02/e8b37ef9-img_20230117_122617-scaled.jpg']",Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,1.0,
1536,117142,https://restado.de/baustoff/alte-fachwerk-scheune-altholzbalken-vintage-windlicht-dekobalken-ablage-kerzenhalter-beistelltisch/,Alte Fachwerk Scheune Altholzbalken vintage Windlicht Dekobalken Ab…,Dach,Konstruktiver Holzbau,2023-01-16,,"Altholzbalken zu einem dekorativen Beistelltisch gearbeitet.  Aus dem Rückbau eines historischen Dachstuhls  erbaut um 1900  Die Scheunenbalken wurde schonend ausgebaut und gereinigt.  Maße: Querschnitt ca. 18/18 Länge ca. 52 cm  Preis incl. Versand  Viele weitere historische Balken aus dem selektiven Rückbau, wie Sparren, Stuhlrähm, Kopfbänder, Fachwerkbalken fachgerecht gelagert.  Wir haben ständig bis zu 30 m³ Fachwerkbalken an unserem Bergehof.  Gerne erstelle ich ein passgenaues Angebot für ihr Projekt.  Antik-Stein auch auf allen social media Kanälen  page: baustoffe-antik.de",Gebraucht,69€ / Stück,50 Stück verfügbar,(1 Stück Mindestabnahme),D-06120 Halle (Saale),,{},69.0,50.0,69.0,50.0,69€ / Stück,50 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/12/81ff99a6-blk-als-beistelltisch-29.11.22-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/9ce945f5-balkenende-20er-70cm-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/f9713717-balkenende-16er-55-cm-2-hood.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/d9398dd2-54641830.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/bc945686-balkenende-16er-55-cm-5.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/a79ddd08-54642825.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/686814fa-bild-2.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/5db2cfd4-balkentischchen-25.8.17-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/180354be-beistelltisch-detail-3.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/b0611c7e-balkentischchen-25.8.17-9.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/df8a5435-balkentischchen-25.8.17-6.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/18a027fa-balkenende-16er-55-cm-seite.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/bf7fc669-54643088.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/7919ad52-balkentischchen-25.8.17-12.jpg', 'https://restado.de/wp-content/uploads/products/2022/12/b6c1742c-beistelltisch-detail-6.jpg']",Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1537,110661,https://restado.de/baustoff/holzbalken-konstruktionsholz/,"Holzbalken , Konstruktionsholz",Dach,Konstruktiver Holzbau,2023-01-09,,"14x18cm - 6,2m Lang  Waren für den Dachbau gedacht, sind allerdings übrig geblieben.  Sind also neu und unbenutzt.",Neu,290€ (VB) / Stück,2 Stück verfügbar,(1 Stück Mindestabnahme),D-69245 Bammental,,{},290.0,2.0,290.0,2.0,290€ (VB) / Stück,2 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/08/163f3ab5-photo_2022-08-05_15-39-08.jpg'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1538,108103,https://restado.de/baustoff/bauholz-3/,Bauholz,Dach,Konstruktiver Holzbau,2023-01-09,,Altes Bauholz Verschiedene Querschnittabmessungen  siehe Fotos z.T. bis zu 5m lang Weichholz Fichte Tanne z. T. 50 Jahre alt Preis: 1€ bis 2€/ laufenden Meter je nach Querschnitt,Gebraucht,1€ (VB) / lfm,200 lfm verfügbar,(1 lfm Mindestabnahme),D-74523 Schwäbisch Hall,,{},1.0,200.0,1.0,200.0,1€ (VB) / lfm,200 lfm verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/06/e172548d-20220205_143407.jpg', 'https://restado.de/wp-content/uploads/products/2022/06/492746a7-20220205_143506.jpg']",Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1539,107619,https://restado.de/baustoff/holzdachbalken/,m lange Holzbalken gute Jahre alt,Dach,Konstruktiver Holzbau,2023-01-27,,Ca. 100 Jahre alte Holzbalken aus einer Scheune. Teilweise handgeschlagen. Durch ehemalige Verbauung mit Verbindungskerben.  Länge: 9-11 m (4x vorhanden) Breite/Dicke: 17-22 cm  Mehrere kürzere Balken auch vorhanden.  Auf Anfrage gibt's gerne mehr Bilder. Gerne vorbeikommen und anschauen.,Gebraucht,350€ (VB) / Stück,4 Stück verfügbar,(1 Stück Mindestabnahme),D-86857 Hurlach,,{},350.0,4.0,350.0,4.0,350€ (VB) / Stück,4 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/06/e42a7905-1.jpeg'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1540,106964,https://restado.de/baustoff/altholz/,Altholz,Dach,Konstruktiver Holzbau,2023-01-09,,"6 Stück Kehlbalken zusätzlich gemischtes Altholz (Konstruktionsholz, Bretter)  Querschnitt ca. 15cm  Das Holz wurde aus einem Dachstuhl bei Sanierung zurückgebaut.",Gebraucht,25€ (VB) / Stück,6 Stück verfügbar,(1 Stück Mindestabnahme),D-45128 Essen,,{},25.0,6.0,25.0,6.0,25€ (VB) / Stück,6 Stück verfügbar,0.0,,"['https://restado.de/wp-content/uploads/products/2022/06/42720e2b-044beb1b-f30d-4a60-bfd8-0f0cad1666f1.jpeg', 'https://restado.de/wp-content/uploads/products/2022/06/f7ff5b91-0c378c99-6e4a-4f39-bb0d-c43c1263bdf6.jpeg']",Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1541,93597,https://restado.de/baustoff/holzbalken-3/,Holzbalken,Dach,Konstruktiver Holzbau,2023-01-09,,"Biete alte Fachwerk - Holzbalken, verschiedene Größen, 22x15, 28x 25 über 100 Jahre alt,",Gebraucht,180€ (VB) / Stück,20 Stück verfügbar,(1 Stück Mindestabnahme),D-18055 Rostock,,{},180.0,20.0,180.0,20.0,180€ (VB) / Stück,20 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/03/2ddeead5-img_20220216_113120-scaled.jpg'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1542,93271,https://restado.de/baustoff/4x6-dachlatten/,x Dachlatten pro Meter €,Dach,Konstruktiver Holzbau,2023-01-09,,"Dachlatten / Konterlatten 40x60 mm S10 getrocknet. Pro Bund 6 Latten á 5 Meter (30 Meter) Preis pro Bund 24€  Verkauf nur bundweise  S10 Stirnseite rot gekennzeichnet  DIN 4074-1, S 10, KD 16% +/- 2%   Abholung in 59494 Soest Lieferung gegen Aufpreis möglich.",Neu,4€ / Stück,5.000 Stück verfügbar,(6 Stück Mindestabnahme),D-59494 Soest,,{},4.0,5000.0,4.0,5000.0,4€ / Stück,5.000 Stück verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/03/37ff325e-screenshot_20220112-135619.png'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
1543,93275,https://restado.de/baustoff/wuerth-naegel-und-gaskartusche/,Würth Nägel und Gaskartusche,Dach,Konstruktiver Holzbau,2023-01-09,, ,Neu,500€ Paketpreis,10 Paket verfügbar,(10 Paket Mindestabnahme),D-19412 Weitendorf,Würth,{},500.0,10.0,500.0,10.0,500€ Paketpreis,10 Paket verfügbar,0.0,,['https://restado.de/wp-content/uploads/products/2022/03/90976592-image_3481c5ae-238c-4654-9cb4-8910e3523471-rotated.jpg'],Ceramic,Formwork props,Pr_20_85_86_30,Structural elements,"Blocks, Panels, Fences, Bricks",Prefabricated buildings and structures,,0.0
